text,category,department,category_code,org_code,urgency,urgency_score
"my father's pension has been stopped since 4 months, he is a senior citizen there is a medical emergency",Pension,Pension,6281,DEAPR,Critical,71
"street lights not working on the highway, danger at night",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,17
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"family pension denied after my husband's death, i am a widow situation is unsafe and dangerous",Pension,Pension,6281,DEAPR,High,63
"fir not registered despite repeated visits, harassment",Home Affairs,Home Affairs,4742,MINHA,Medium,29
scholarship amount not received by my child for 5 months my elderly parent is suffering,School Education,School Education,398,DOSEL,High,59
"overcharged above mrp, shopkeeper cheated me",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,19
broadband speed is far lower than the plan i am paying for i have complained repeatedly and it is still unresolved,Telecommunications,Telecommunications,1,DOTEL,Medium,25
"no doctor available at the primary health centre for 2 days, medical emergency i have complained repeatedly and it is still unresolved",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,37
my monthly income scheme interest not credited since 7 months there is a medical emergency,Posts,Posts,61,DPOST,Medium,35
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
request for status of my police clearance certificate this is urgent,Home Affairs,Home Affairs,4742,MINHA,Low,15
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"medicines out of stock at government hospital, patient suffering please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,33
"no water in the coach during long journey, elderly passengers suffering senior citizen with no other support",Railway,Railway,2565,MORLY,Medium,36
"my father's pension has been stopped since 3 months, he is a senior citizen this is urgent",Pension,Pension,6281,DEAPR,High,57
"unsafe conditions at the platform, no security at night please help immediately",Railway,Railway,2565,MORLY,Low,24
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"my provident fund withdrawal pending for 10 months, need it urgently no response despite repeated complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,37
scholarship amount not received by my child for 6 months,School Education,School Education,398,DOSEL,High,51
broadband speed is far lower than the plan i am paying for,Telecommunications,Telecommunications,1,DOTEL,Low,16
request for transfer certificate pending since 6 months i have complained repeatedly and it is still unresolved,School Education,School Education,398,DOSEL,Medium,25
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
mgnrega wages not paid for 10 months to labourers in our village,Rural Development,Rural Development,4976,DORLD,Low,23
mid day meal not provided for 8 days at the government school,School Education,School Education,398,DOSEL,Low,20
"amount debited from my account but transaction failed, 10 months no refund my elderly parent is suffering",Banking,Banking,251,DEABD,Medium,31
scholarship amount not received by my child for 4 months,School Education,School Education,398,DOSEL,High,51
"fraud transaction on my account, money stolen, please help urgently i have complained repeatedly and it is still unresolved",Banking,Banking,251,DEABD,High,53
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
tds credit not reflecting in my account,Income Tax,Income Tax,4414,CBODT,Low,11
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
"money order not delivered to my elderly mother, she is waiting no response despite repeated complaints",Posts,Posts,61,DPOST,Medium,31
"pension not credited for 6 months, elderly and no other income please help immediately",Pension,Pension,6281,DEAPR,Medium,44
wrongly charged extra amount on my mobile bill this month,Telecommunications,Telecommunications,1,DOTEL,Low,8
anganwadi not providing nutrition to children for 19 days no response despite repeated complaints,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,43
"reserved seat given to someone else, harassment by staff there is a medical emergency",Railway,Railway,2565,MORLY,High,49
request for transfer certificate pending since 8 months situation is unsafe and dangerous,School Education,School Education,398,DOSEL,Medium,30
income tax refund pending for 7 months despite filing situation is unsafe and dangerous,Income Tax,Income Tax,4414,CBODT,Medium,36
"school building unsafe, roof leaking, children at risk",School Education,School Education,398,DOSEL,Medium,32
"medicines out of stock at government hospital, patient suffering",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,33
"loan emi wrongly deducted twice, bank not responding no response despite repeated complaints",Banking,Banking,251,DEABD,Low,20
"no water in the coach during long journey, elderly passengers suffering this is urgent",Railway,Railway,2565,MORLY,Medium,32
broadband speed is far lower than the plan i am paying for there is a medical emergency,Telecommunications,Telecommunications,1,DOTEL,Medium,33
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
"fraud transaction on my account, money stolen, please help urgently there is a medical emergency",Banking,Banking,251,DEABD,High,53
"no water supply in our locality for 19 days, children falling sick there is a medical emergency",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,45
"teacher shortage in the school, no classes happening",School Education,School Education,398,DOSEL,Low,11
request for status update on my pension revision application,Pension,Pension,6281,DEAPR,Low,5
"toll charged despite pass, request refund i have complained repeatedly and it is still unresolved",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,17
"maternity benefit not received, pregnant and no support my elderly parent is suffering",Women and Child Development,Women and Child Development,5410,DOWCD,High,51
mgnrega wages not paid for 7 months to labourers in our village,Rural Development,Rural Development,4976,DORLD,Low,15
"family pension denied after my husband's death, i am a widow no response despite repeated complaints",Pension,Pension,6281,DEAPR,High,55
mid day meal not provided for 19 days at the government school,School Education,School Education,398,DOSEL,Low,12
"ambulance did not arrive on time, elderly patient in danger",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,33
"large potholes on the highway causing accidents, unsafe for months no response despite repeated complaints",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,23
request for status of my vehicle registration there is a medical emergency,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,19
"ppo number not updated, pension pending, repeatedly following up senior citizen with no other support",Pension,Pension,6281,DEAPR,Medium,34
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
"purchased defective product, seller refusing refund for 1 months there is a medical emergency",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,32
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"money order not delivered to my elderly mother, she is waiting this is urgent",Posts,Posts,61,DPOST,Medium,32
